age,tenure_months,monthly_charges,total_usage_hours,support_calls,payment_delays,contract_type,internet_service,payment_method,churn
56,42,23.27,219.18,11,3,Monthly,Standard,UPI,0
69,41,110.28,282.13,0,2,Yearly,Standard,Bank Transfer,0
46,38,30.69,181.54,11,3,Monthly,Basic,Credit Card,1
32,34,138.39,259.08,6,2,Yearly,Premium,Debit Card,1
60,17,80.38,246.93,4,2,Two-Year,Basic,Bank Transfer,1
25,37,37.88,52.83,7,4,Yearly,Basic,Debit Card,0
38,25,64.31,146.26,3,5,Monthly,Premium,UPI,0
56,27,41.43,35.96,11,1,Yearly,Premium,Debit Card,0
36,57,42.18,204.96,9,1,Yearly,Premium,Bank Transfer,0
40,31,143.25,285.02,6,2,Yearly,Standard,UPI,0
28,6,77.88,41.99,5,1,Monthly,Standard,Bank Transfer,0
28,40,,220.43,4,0,Monthly,Premium,Debit Card,1
41,12,103.15,190.04,3,2,Monthly,Standard,Bank Transfer,0
53,53,,175.5,6,1,Monthly,Basic,UPI,1
57,71,37.12,,11,0,Monthly,Premium,Debit Card,1
41,10,50.44,107.18,4,4,Monthly,Basic,Debit Card,1
20,45,122.28,14.53,4,1,Yearly,Premium,Credit Card,0
39,17,146.2,66.15,0,0,Two-Year,Basic,Credit Card,1
19,26,54.15,,1,3,Yearly,Premium,Bank Transfer,1
41,62,55.3,174.84,4,5,Monthly,Basic,Credit Card,1
61,46,81.48,32.65,2,3,Monthly,Premium,Credit Card,0
47,64,147.9,262.03,1,0,Two-Year,Premium,Credit Card,0
55,2,54.96,157.42,3,2,Two-Year,Standard,Credit Card,0
19,54,72.91,210.21,3,2,Two-Year,Basic,UPI,1
38,65,135.89,123.85,3,1,Yearly,Standard,UPI,1
50,51,,168.61,3,3,Monthly,Basic,Credit Card,1
29,53,25.17,282.86,2,2,Yearly,Standard,Bank Transfer,1
39,36,98.53,25.74,11,2,Monthly,Premium,UPI,0
61,26,137.96,76.93,6,3,Monthly,Standard,Credit Card,1
42,29,51.05,234.22,8,4,Yearly,Standard,UPI,0
66,21,81.05,30.52,11,2,Monthly,Premium,Debit Card,0
44,11,78.56,23.62,4,5,Monthly,Standard,UPI,1
59,40,81.49,109.1,3,0,Monthly,Premium,UPI,1
45,11,100.93,28.56,10,1,Monthly,Basic,Bank Transfer,0
33,36,81.07,175.94,1,2,Two-Year,Standard,UPI,1
32,59,78.17,68.66,1,5,Monthly,Premium,Bank Transfer,1
64,39,81.66,268.81,4,5,Monthly,Premium,Debit Card,1
68,54,96.81,235.27,6,2,Monthly,Standard,Credit Card,1
61,55,89.81,210.21,9,4,Monthly,Basic,Bank Transfer,1
69,24,131.04,185.47,9,0,Monthly,Standard,UPI,0
20,22,26.43,259.18,8,1,Yearly,Premium,UPI,0
54,69,128.33,67.7,6,2,Monthly,Basic,Bank Transfer,1
68,56,129.71,262.06,4,1,Yearly,Standard,Debit Card,1
24,33,57.04,237.06,9,3,Two-Year,Premium,Credit Card,0
38,36,,224.7,9,5,Yearly,Standard,UPI,1
26,20,77.01,168.82,9,5,Monthly,Basic,Debit Card,1
56,62,48.41,74.63,5,2,Monthly,Basic,Credit Card,1
35,26,71.58,127.64,10,2,Two-Year,Basic,Credit Card,1
21,66,25.77,238.28,11,3,Monthly,Basic,UPI,0
42,40,56.12,10.5,2,4,Yearly,Basic,Bank Transfer,0
31,17,126.17,234.83,4,2,Two-Year,Standard,UPI,1
67,1,56.99,72.78,7,5,Two-Year,Basic,UPI,1
26,61,126.37,44.15,0,1,Two-Year,Basic,UPI,1
43,43,89.11,35.59,11,0,Yearly,Premium,Debit Card,1
19,42,134.38,9.15,0,1,Monthly,Basic,Bank Transfer,0
37,25,94.72,157.55,6,4,Two-Year,Premium,Debit Card,0
45,39,23.86,66.26,4,0,Monthly,Premium,UPI,0
64,35,,296.84,4,1,Monthly,Premium,Bank Transfer,0
24,3,25.83,172.76,0,1,Yearly,Standard,Credit Card,0
61,44,78.58,42.23,8,3,Yearly,Standard,Bank Transfer,0
25,51,140.83,206.94,0,4,Two-Year,Premium,UPI,1
64,12,41.48,269.43,4,5,Yearly,Standard,Bank Transfer,1
52,19,70.68,223.81,9,3,Monthly,Basic,Credit Card,0
31,44,114.88,23.86,8,0,Two-Year,Standard,,1
34,59,134.69,268.87,3,5,Yearly,Basic,Bank Transfer,0
53,49,107.22,238.38,7,3,Yearly,Basic,Credit Card,0
67,61,53.56,48.33,5,4,Monthly,Standard,Debit Card,0
57,17,107.7,16.48,10,2,Monthly,Standard,Bank Transfer,1
21,57,58.57,167.64,2,2,Yearly,Premium,Credit Card,0
19,55,113.4,47.65,3,0,Monthly,Standard,Credit Card,1
23,47,144.02,250.54,1,2,Monthly,Standard,Bank Transfer,0
59,12,113.78,108.14,0,3,Yearly,Standard,Debit Card,1
21,62,132.17,273.95,7,0,Monthly,Basic,Bank Transfer,0
46,8,20.27,170.14,0,5,Monthly,Basic,Credit Card,0
35,21,113.28,55.62,10,4,Monthly,Basic,Bank Transfer,1
43,70,127.85,42.74,0,0,Monthly,Premium,Credit Card,0
61,72,25.27,173.37,3,5,Yearly,Premium,UPI,0
51,25,133.31,228.8,9,0,Monthly,Premium,Bank Transfer,1
27,12,53.37,234.67,11,1,Monthly,Basic,Bank Transfer,0
53,15,106.49,83.45,9,1,Yearly,Standard,Credit Card,1
31,59,124.05,62.07,5,0,Two-Year,Premium,Credit Card,0
48,26,106.15,6.01,8,2,Yearly,Premium,Credit Card,0
65,26,32.0,204.08,0,1,Monthly,Basic,Credit Card,0
32,47,97.52,23.89,6,4,Monthly,Premium,Bank Transfer,1
25,32,91.45,126.81,9,5,Two-Year,Standard,Credit Card,0
31,10,137.04,180.9,10,3,Monthly,Basic,Bank Transfer,1
40,16,72.55,281.2,4,1,Yearly,Basic,Debit Card,1
57,71,61.74,94.23,11,0,Monthly,Standard,Bank Transfer,0
38,17,117.48,75.68,7,2,Monthly,Standard,Credit Card,1
33,23,73.65,196.59,6,3,Yearly,Standard,Credit Card,1
62,26,103.99,186.15,3,5,Yearly,Premium,Debit Card,0
35,7,104.04,100.3,3,5,Yearly,Standard,Bank Transfer,1
64,14,135.45,278.5,5,1,Monthly,Basic,Debit Card,1
41,7,97.83,253.61,5,5,Monthly,Standard,Bank Transfer,1
43,9,85.28,67.97,8,5,Yearly,Basic,Credit Card,0
42,48,38.05,72.5,11,2,Yearly,Basic,Bank Transfer,0
62,72,35.05,154.18,4,2,Monthly,Premium,Credit Card,0
58,59,40.06,232.3,7,2,Monthly,Standard,Credit Card,1
46,39,42.34,14.17,4,0,Monthly,Premium,,1
32,18,102.92,208.31,1,5,Two-Year,Standard,UPI,1
62,59,116.33,194.82,5,5,Yearly,Standard,Bank Transfer,1
18,17,88.9,70.21,8,5,Two-Year,Standard,Credit Card,0
42,14,127.77,204.72,2,4,Monthly,Standard,Debit Card,1
24,31,148.86,282.11,0,2,Two-Year,Standard,Credit Card,1
26,24,126.6,14.99,0,3,Monthly,Basic,Debit Card,1
